TradingDate,VIC,YEG
2017-01-24,30485.0,
2017-01-25,30853.0,
2017-02-02,31220.0,
2017-02-03,30853.0,
2017-02-06,31146.0,
2017-02-07,31440.0,
2017-02-08,31404.0,
2017-02-09,31330.0,
2017-02-10,31220.0,
2017-02-13,31220.0,
2017-02-14,31257.0,
2017-02-15,32689.0,
2017-02-16,32322.0,
2017-02-17,32322.0,
2017-02-20,33277.0,
2017-02-21,34122.0,
2017-02-22,33571.0,
2017-02-23,33240.0,
2017-02-24,33240.0,
2017-02-27,33754.0,
2017-02-28,33056.0,
2017-03-01,32836.0,
2017-03-02,32395.0,
2017-03-03,32689.0,
2017-03-06,32873.0,
2017-03-07,32946.0,
2017-03-08,32689.0,
2017-03-09,32469.0,
2017-03-10,32469.0,
2017-03-13,32469.0,
2017-03-14,32359.0,
2017-03-15,31955.0,
2017-03-16,32322.0,
2017-03-17,32175.0,
2017-03-20,31808.0,
2017-03-21,30449.0,
2017-03-22,30596.0,
2017-03-23,31220.0,
2017-03-24,31110.0,
2017-03-27,31110.0,
2017-03-28,30853.0,
2017-03-29,31000.0,
2017-03-30,31000.0,
2017-03-31,30706.0,
2017-04-03,30485.0,
2017-04-04,30853.0,
2017-04-05,30559.0,
2017-04-07,30853.0,
2017-04-10,31146.0,
2017-04-11,31257.0,
2017-04-12,30889.0,
2017-04-13,31146.0,
2017-04-14,30669.0,
2017-04-17,30669.0,
2017-04-18,30632.0,
2017-04-19,30485.0,
2017-04-20,29824.0,
2017-04-21,29751.0,
2017-04-24,29383.0,
2017-04-25,29641.0,
2017-04-26,29677.0,
2017-04-27,30045.0,
2017-04-28,30045.0,
2017-05-03,29751.0,
2017-05-04,29604.0,
2017-05-05,29677.0,
2017-05-08,29677.0,
2017-05-09,29934.0,
2017-05-10,29714.0,
2017-05-11,29751.0,
2017-05-12,29751.0,
2017-05-15,30045.0,
2017-05-16,30485.0,
2017-05-17,30338.0,
2017-05-18,30338.0,
2017-05-19,30045.0,
2017-05-22,30265.0,
2017-05-23,30008.0,
2017-05-24,29751.0,
2017-05-25,29420.0,
2017-05-26,29751.0,
2017-05-29,29861.0,
2017-05-30,29567.0,
2017-05-31,29567.0,
2017-06-01,29788.0,
2017-06-02,29824.0,
2017-06-05,29824.0,
2017-06-06,29861.0,
2017-06-07,30118.0,
